created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Oct 11 23:59:54 +0000 2023;1712256744729260065;"@RamliRizal Walaupun sering dikaitkan dengan "kopi susu," sepertinya Jokowi masih jauh dari Kolusi, Korupsi, dan Nepotisme (KKN). Semoga kebijakannya dapat membawa manfaat bagi rakyat dan bangsa. ☕😄 #JokowiBukanKopiSusu #AntiKKN";0;0;0;0;in;2463685242;1711943222895997349;Suka_kopi;https://twitter.com/Suka_kopi/status/1712256744729260065
Wed Oct 11 23:58:33 +0000 2023;1712256402046283907;"@BiLLRaY2019 @NgkongRoses Yang jadi masalah besar di dalam pemberantasan korupsi adalah politisasi masalah hukum, yg berakibat politik jadi panglima. Negara demokrasi harus menjadikan hukum menjadi panglima. Tentu saja didukung oleh aparat hukum yg jujur,bersih, berwibawa, berpengetahuan luas dan cakep 😂";0;0;0;0;in;1659779740499320832;1712089936718164440;thelastprince65;https://twitter.com/thelastprince65/status/1712256402046283907
Wed Oct 11 23:57:34 +0000 2023;1712256154993398142;"KPK Resmi Umumkan Tersangka Kasus Korupsi di Kementan https://t.co/PQPz00fMnV";0;4;15;42;in;1334853481019056128;1712256154993398142;Mdy_Asmara1701;https://twitter.com/Mdy_Asmara1701/status/1712256154993398142
Wed Oct 11 23:56:55 +0000 2023;1712255993504252097;"@InterSIB18 @kamto_adi Masalahnya sekarang susah percaya sama yg open donasi gitu kak. Awalnya emang real pengen bantu adeknya pas tau duitnya banyak bgt yg terkumpul ujung2nya di korupsi. Banyak bgt kasus kaya gitu.";0;1;0;0;in;2649971672;1712072400572203309;Rapun_zellllll;https://twitter.com/Rapun_zellllll/status/1712255993504252097
Wed Oct 11 23:56:14 +0000 2023;1712255819788714008;"Waduh @NasDem https://t.co/uU8JMyB8IB  KPK telah mengumumkan Syahrul Yasin Limpo sebagai tersangka pemerasan dan gratifikasi di Kementan. Aliran duit korupsi SYL ke NasDem tengah didalami.";0;0;0;0;in;2871185910;1712255819788714008;NapiPKS;https://twitter.com/NapiPKS/status/1712255819788714008
Wed Oct 11 23:55:36 +0000 2023;1712255660518424727;"@liputan6dotcom Kemaren ngaku org Bugis, yg punya harga diri tidak korupsi. Klo ini terbukti wah anda bikin malu orang bugis";0;0;0;0;in;178192615;1712094012600172979;novandre;https://twitter.com/novandre/status/1712255660518424727
Wed Oct 11 23:55:24 +0000 2023;1712255609498956202;"@yangmi3prnew Semestinya s lumpiaa...g kluyuran lagi..pamer2 diri sbg plaku korupsi. ..Ksmorett tuu..!!!";0;0;0;1;in;1180704860066344960;1712178350402523355;Berty69968038;https://twitter.com/Berty69968038/status/1712255609498956202
Wed Oct 11 23:51:38 +0000 2023;1712254661837930530;"KPK Dalami Dugaan Aliran Duit Korupsi Eks Mentan SYL ke NasDem https://t.co/0j2B62NeSY";0;0;0;0;in;2289169484;1712254661837930530;emhateam;https://twitter.com/emhateam/status/1712254661837930530
Wed Oct 11 23:51:10 +0000 2023;1712254547530600941;"@KompasTV Pasalnya waktu jaman SBY mau tunjukkan keberpihakan juga hasilnya tidak pengaruh juga, secara elektabilitas SBY kan sangat hancur akit korupsi partainya.";0;0;0;1;in;1674462142844772352;1711946867683311726;Jefta_bakti;https://twitter.com/Jefta_bakti/status/1712254547530600941
Wed Oct 11 23:48:54 +0000 2023;1712253976257986999;"@emerson_yuntho Tepat sekali! Curang dan korupsi adalah tindakan yang tidak bisa dibenarkan oleh siapa pun. Jadi, kalau mau curang dan korupsi, jangan lupa bawa kopi buat diri sendiri karena kamu akan butuh banyak waktu untuk merenungkan perbuatanmu. ☕😄 #AntiCurangKopiKesukaan";0;0;0;1;in;2463685242;1712240238662389827;Suka_kopi;https://twitter.com/Suka_kopi/status/1712253976257986999
Wed Oct 11 23:48:11 +0000 2023;1712253793281474787;"Kronologi KPK Tetapkan SYL Cs Tersangka Korupsi Kementan https://t.co/2XprWdnPhK";0;0;0;1;in;847372542830444544;1712253793281474787;cnbcindonesia;https://twitter.com/cnbcindonesia/status/1712253793281474787
Wed Oct 11 23:47:16 +0000 2023;1712253565451051492;"@kumparan Dari pada iq tinggi tapi korupsi";0;0;0;1;in;4066585873;1711562359339192339;iya123456743;https://twitter.com/iya123456743/status/1712253565451051492
Wed Oct 11 23:45:14 +0000 2023;1712253053037056376;"@sandyalfia96694 Maksudnya ?  Perasaan ga ada pernyataan bawa² sukur ? Dan ga ada pernyataan korupsi rame² 🤪😀 koment yg aneh 👻";0;0;0;1;in;1270767175825936384;1712093524085354544;TheLadyJoker;https://twitter.com/TheLadyJoker/status/1712253053037056376
